setting_id,continuation_cost,scarcity_cost_scale,observation_noise,init_regime,ego_reward,tuned_ego,tuned_ego_reward,oracle_reward,best_fixed_threshold,best_fixed_threshold_reward,best_fixed_depth,best_fixed_depth_reward,ego_minus_best_fixed_threshold,tuned_ego_minus_best_fixed_threshold,ego_minus_best_fixed_depth,tuned_ego_minus_best_fixed_depth,oracle_minus_ego,oracle_minus_tuned_ego
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,0.03,0.0,0.0,wide,0.7995746904205311,ego_grid_h0=0.00_alpha=0.25,0.8284093299336359,0.8293362672484877,fixed_threshold_0.05,0.8283947442448821,fixed_depth_4,0.8067667395449793,-0.028820053824351044,1.4585688753787629e-05,-0.007192049124448263,0.02164259038865657,0.02976157682795666,0.0009269373148518278
cost=0.030|scarcity=0.000|obs_noise=0.000|init=high,0.03,0.0,0.0,high,0.7430071954769072,ego_grid_h0=0.00_alpha=0.25,0.7804238998907717,0.780661687754397,fixed_threshold_0.05,0.7799482784727827,fixed_depth_6,0.7775866721567973,-0.03694108299587551,0.0004756214179889584,-0.03457947667989014,0.0028372277339743235,0.03765449227748985,0.00023778786362538273
cost=0.030|scarcity=0.000|obs_noise=0.020|init=wide,0.03,0.0,0.02,wide,0.8001924152936754,ego_grid_h0=0.00_alpha=0.25,0.8269162150328353,0.8291540924168671,fixed_threshold_0.05,0.8283607534939891,fixed_depth_4,0.8038234323621579,-0.028168338200313725,-0.001444538461153777,-0.003631017068482567,0.02309278267067738,0.028961677123191754,0.0022378773840318056
cost=0.030|scarcity=0.000|obs_noise=0.020|init=high,0.03,0.0,0.02,high,0.7417312340563945,ego_grid_h0=0.00_alpha=0.25,0.7823361516185428,0.7825272598613006,fixed_threshold_0.05,0.7813748619865185,fixed_depth_6,0.7796976582398639,-0.03964362793012399,0.0009612896320242426,-0.037966424183469405,0.00263849337867883,0.040796025804906044,0.00019110824275780924
cost=0.030|scarcity=0.000|obs_noise=0.060|init=wide,0.03,0.0,0.06,wide,0.8010896597083814,ego_grid_h0=0.00_alpha=0.25,0.8254076136099281,0.8291540924168671,fixed_threshold_0.05,0.8245541787365307,fixed_depth_4,0.8038234323621579,-0.023464519028149278,0.0008534348733973962,-0.0027337726537765006,0.021584181247770173,0.028064432708485687,0.003746478806939013
cost=0.030|scarcity=0.000|obs_noise=0.060|init=high,0.03,0.0,0.06,high,0.7420452998971252,ego_grid_h0=0.00_alpha=0.25,0.7815697185799612,0.7825272598613006,fixed_threshold_0.05,0.7790798228369438,fixed_depth_6,0.7796976582398639,-0.03703452293981857,0.0024898957430173896,-0.03765235834273872,0.0018720603400972369,0.04048195996417536,0.0009575412813394024
cost=0.030|scarcity=0.040|obs_noise=0.000|init=wide,0.03,0.04,0.0,wide,0.7836061189919596,ego_grid_h0=0.00_alpha=0.50,0.7990857288780001,0.7984865122699232,fixed_threshold_0.10,0.7984167324235834,fixed_depth_4,0.781385787164027,-0.01481061343162371,0.0006689964544167593,0.0022203318279326867,0.017699941713973155,0.014880393277963533,-0.0005992166080769357
cost=0.030|scarcity=0.040|obs_noise=0.000|init=high,0.03,0.04,0.0,high,0.7177562430959548,ego_grid_h0=0.00_alpha=0.50,0.7365953961096108,0.7362143595677708,fixed_threshold_0.10,0.7357567236751205,fixed_depth_6,0.7288723864425116,-0.0180004805791657,0.0008386724344903174,-0.011116143346556862,0.007723009667099157,0.018458116471816055,-0.00038103654183996305
cost=0.030|scarcity=0.040|obs_noise=0.020|init=wide,0.03,0.04,0.02,wide,0.7839486057698658,ego_grid_h0=0.00_alpha=0.50,0.7988804980177802,0.7995500488099748,fixed_threshold_0.10,0.7990870660620683,fixed_depth_4,0.7784424799812055,-0.01513846029220245,-0.00020656804428809128,0.005506125788660277,0.020438018036574634,0.01560144304010902,0.000669550792194662
cost=0.030|scarcity=0.040|obs_noise=0.020|init=high,0.03,0.04,0.02,high,0.7159302816754421,ego_grid_h0=0.00_alpha=0.50,0.7377502660323653,0.7374977577497143,fixed_threshold_0.10,0.7367650074069875,fixed_depth_6,0.7309833725255782,-0.020834725731545323,0.000985258625377794,-0.015053090850136064,0.006766893506787053,0.02156747607427212,-0.00025250828265099834
cost=0.030|scarcity=0.040|obs_noise=0.060|init=wide,0.03,0.04,0.06,wide,0.7844191835179053,ego_grid_h0=0.00_alpha=0.50,0.7965478599466385,0.7995500488099748,fixed_threshold_0.10,0.7963243006732961,fixed_depth_4,0.7784424799812055,-0.011905117155390776,0.00022355927334238856,0.005976703536699768,0.018105379965432933,0.015130865292069529,0.0030021888633363636
cost=0.030|scarcity=0.040|obs_noise=0.060|init=high,0.03,0.04,0.06,high,0.7158943475161729,ego_grid_h0=0.00_alpha=0.50,0.7364525439972287,0.7374977577497143,fixed_threshold_0.10,0.7337892176700055,fixed_depth_6,0.7309833725255782,-0.01789487015383262,0.0026633263272232144,-0.015089025009405344,0.005469171471650491,0.021603410233541398,0.0010452137524855631
cost=0.030|scarcity=0.080|obs_noise=0.000|init=wide,0.03,0.08,0.0,wide,0.7676375475633882,ego_grid_h0=0.00_alpha=0.75,0.7749603642268871,0.7747801409964226,fixed_threshold_0.15,0.7735944338011461,fixed_depth_4,0.7560048347830746,-0.005956886237757919,0.0013659304257409577,0.011632712780313637,0.018955529443812513,0.007142593433034361,-0.00018022323046451572
cost=0.030|scarcity=0.080|obs_noise=0.000|init=high,0.03,0.08,0.0,high,0.6925052907150024,ego_grid_h0=0.00_alpha=0.75,0.7000704662477816,0.7004798122638727,fixed_threshold_0.15,0.6996138506505882,fixed_depth_4,0.6915446075237301,-0.00710855993558579,0.0004566155971933439,0.0009606831912722935,0.008525858724051427,0.00797452154887024,0.00040934601609110555
